X,Y
5.33,6.38E-14
5.34,5.70E-14
5.35,5.10E-14
5.36,4.56E-14
5.37,4.07E-14
5.38,3.64E-14
5.39,3.25E-14
5.4,2.90E-14
5.41,2.59E-14
5.42,2.31E-14
5.43,2.06E-14
5.44,1.84E-14
5.45,1.64E-14
5.46,1.46E-14
5.47,1.30E-14
5.48,1.16E-14
5.49,1.04E-14
5.5,9.23E-15
5.51,8.22E-15
5.52,7.32E-15
5.53,6.52E-15
5.54,5.80E-15
5.55,5.17E-15
5.56,4.60E-15
5.57,4.09E-15
5.58,3.64E-15
5.59,3.24E-15
5.6,2.88E-15
5.61,2.56E-15
5.62,2.27E-15
5.63,2.02E-15
5.64,1.79E-15
5.65,1.59E-15
5.66,1.42E-15
5.67,1.26E-15
5.68,1.12E-15
5.69,9.90E-16
5.7,8.78E-16
5.71,7.79E-16
5.72,6.91E-16
5.73,6.13E-16
5.74,5.43E-16
5.75,4.81E-16
5.76,4.26E-16
5.77,3.78E-16
5.78,3.35E-16
5.79,2.96E-16
5.8,2.62E-16
5.81,2.32E-16
5.82,2.06E-16
5.83,1.82E-16
5.84,1.61E-16
5.85,1.42E-16
5.86,1.26E-16
5.87,1.11E-16
5.88,9.84E-17
5.89,8.69E-17
5.9,7.68E-17
5.91,6.78E-17
5.92,5.99E-17
5.93,5.29E-17
5.94,4.67E-17
5.95,4.12E-17
5.96,3.64E-17
5.97,3.21E-17
5.98,2.83E-17
5.99,2.50E-17
6,2.20E-17
6.01,1.94E-17
6.02,1.71E-17
6.03,1.51E-17
6.04,1.33E-17
6.05,1.17E-17
6.06,1.03E-17
6.07,9.06E-18
